,longitude,latitude,year,month,day,hour,weather,temperature,pressure,humidity,wind_direction,wind_speed
0,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,0.0,0.0,-1.4,1025.2,16.0,210.0,1.4
1,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,1.0,0.0,-1.4,1025.2,16.0,210.0,1.4
2,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,2.0,0.0,-1.4,1025.2,16.0,210.0,1.4
3,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,3.0,0.0,-1.4,1025.2,16.0,210.0,1.4
4,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,4.0,0.0,-1.4,1025.2,16.0,210.0,1.4
5,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,5.0,0.0,-1.4,1025.2,16.0,210.0,1.4
6,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,6.0,0.0,-1.4,1025.2,16.0,210.0,1.4
7,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,7.0,0.0,-1.4,1025.2,16.0,210.0,1.4
8,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,8.0,0.0,-1.4,1025.2,16.0,210.0,1.4
9,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,9.0,0.0,-1.4,1025.2,16.0,210.0,1.4
10,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,10.0,0.0,-1.4,1025.2,16.0,210.0,1.4
11,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,11.0,0.0,-1.4,1025.2,16.0,210.0,1.4
12,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,12.0,0.0,-1.4,1025.2,16.0,210.0,1.4
13,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,13.0,0.0,-1.4,1025.2,16.0,210.0,1.4
14,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,14.0,0.0,-1.4,1025.2,16.0,210.0,1.4
15,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,15.0,0.0,-1.4,1025.2,16.0,210.0,1.4
16,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,16.0,0.0,-1.4,1025.2,16.0,210.0,1.4
17,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,17.0,0.0,-1.4,1025.2,16.0,210.0,1.4
18,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,18.0,0.0,-1.4,1025.2,16.0,210.0,1.4
19,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,19.0,0.0,-1.4,1025.2,16.0,210.0,1.4
20,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,20.0,0.0,-1.4,1025.2,16.0,210.0,1.4
21,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,21.0,0.0,-1.4,1025.2,16.0,210.0,1.4
22,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,22.0,0.0,-1.4,1025.2,16.0,210.0,1.4
23,116.24527777777777,39.87027777777778,2017.0,1.0,1.0,23.0,0.0,-1.4,1025.2,16.0,210.0,1.4
24,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,0.0,0.0,-1.4,1025.2,16.0,210.0,1.4
25,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,1.0,0.0,-1.4,1025.2,16.0,210.0,1.4
26,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,2.0,0.0,-1.4,1025.2,16.0,210.0,1.4
27,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,3.0,0.0,-1.4,1025.2,16.0,210.0,1.4
28,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,4.0,0.0,-1.4,1025.2,16.0,210.0,1.4
29,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,5.0,0.0,-1.4,1025.2,16.0,210.0,1.4
30,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,6.0,0.0,-1.4,1025.2,16.0,210.0,1.4
31,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,7.0,0.0,-1.4,1025.2,16.0,210.0,1.4
32,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,8.0,0.0,-1.4,1025.2,16.0,210.0,1.4
33,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,9.0,0.0,-1.4,1025.2,16.0,210.0,1.4
34,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,10.0,0.0,-1.4,1025.2,16.0,210.0,1.4
35,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,11.0,0.0,-1.4,1025.2,16.0,210.0,1.4
36,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,12.0,0.0,-1.4,1025.2,16.0,210.0,1.4
37,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,13.0,0.0,-1.4,1025.2,16.0,210.0,1.4
38,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,14.0,0.0,-1.4,1025.2,16.0,210.0,1.4
39,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,15.0,0.0,-1.4,1025.2,16.0,210.0,1.4
40,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,16.0,0.0,-1.4,1025.2,16.0,210.0,1.4
41,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,17.0,0.0,-1.4,1025.2,16.0,210.0,1.4
42,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,18.0,0.0,-1.4,1025.2,16.0,210.0,1.4
43,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,19.0,0.0,-1.4,1025.2,16.0,210.0,1.4
44,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,20.0,0.0,-1.4,1025.2,16.0,210.0,1.4
45,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,21.0,0.0,-1.4,1025.2,16.0,210.0,1.4
46,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,22.0,0.0,-1.4,1025.2,16.0,210.0,1.4
47,116.24527777777777,39.87027777777778,2017.0,1.0,2.0,23.0,0.0,-1.4,1025.2,16.0,210.0,1.4
48,116.24527777777777,39.87027777777778,2017.0,1.0,3.0,0.0,0.0,-1.4,1025.2,16.0,210.0,1.4
49,116.24527777777777,39.87027777777778,2017.0,1.0,3.0,1.0,0.0,-1.4,1025.2,16.0,210.0,1.4
50,116.24527777777777,39.87027777777778,2017.0,1.0,3.0,2.0,0.0,-1.4,1025.2,16.0,210.0,1.4
51,116.24527777777777,39.87027777777778,2017.0,1.0,3.0,3.0,0.0,-1.4,1025.2,16.0,210.0,1.4
52,116.24527777777777,39.87027777777778,2017.0,1.0,3.0,4.0,0.0,-1.4,1025.2,16.0,210.0,1.4
