test_id,PM2.5,PM10,O3
dongsi_aq#0,77,105,55
dongsi_aq#1,75,104,53
dongsi_aq#2,79,105,54
dongsi_aq#3,79,100,54
dongsi_aq#4,75,98,53
dongsi_aq#5,79,97,54
dongsi_aq#6,76,99,56
dongsi_aq#7,81,102,54
dongsi_aq#8,74,101,53
dongsi_aq#9,79,107,54
dongsi_aq#10,81,99,52
dongsi_aq#11,81,101,52
dongsi_aq#12,77,103,53
dongsi_aq#13,78,100,55
dongsi_aq#14,81,99,54
dongsi_aq#15,81,97,56
dongsi_aq#16,76,105,54
dongsi_aq#17,76,99,56
dongsi_aq#18,79,99,55
dongsi_aq#19,76,99,52
dongsi_aq#20,77,103,52
dongsi_aq#21,80,102,52
dongsi_aq#22,78,98,51
dongsi_aq#23,81,100,53
dongsi_aq#24,74,102,56
dongsi_aq#25,81,106,56
dongsi_aq#26,79,105,56
dongsi_aq#27,80,98,53
dongsi_aq#28,81,105,55
dongsi_aq#29,79,97,55
dongsi_aq#30,75,107,52
dongsi_aq#31,80,106,51
dongsi_aq#32,76,104,51
dongsi_aq#33,78,98,54
dongsi_aq#34,81,105,56
dongsi_aq#35,75,107,52
dongsi_aq#36,80,100,52
dongsi_aq#37,75,97,55
dongsi_aq#38,75,100,54
dongsi_aq#39,78,106,55
dongsi_aq#40,77,104,52
dongsi_aq#41,76,103,55
dongsi_aq#42,81,101,55
dongsi_aq#43,76,100,56
dongsi_aq#44,78,99,51
dongsi_aq#45,82,106,54
dongsi_aq#46,81,105,56
dongsi_aq#47,77,100,52
tiantan_aq#0,86,133,61
tiantan_aq#1,80,130,62
tiantan_aq#2,85,129,65
tiantan_aq#3,80,131,64
tiantan_aq#4,79,133,65
tiantan_aq#5,86,128,61
tiantan_aq#6,79,130,61
tiantan_aq#7,82,135,62
tiantan_aq#8,85,140,64
tiantan_aq#9,83,133,64
tiantan_aq#10,79,129,61
tiantan_aq#11,81,135,65
tiantan_aq#12,82,127,61
tiantan_aq#13,86,129,61
tiantan_aq#14,85,127,63
tiantan_aq#15,86,130,62
tiantan_aq#16,87,128,61
tiantan_aq#17,82,134,63
tiantan_aq#18,85,135,66
tiantan_aq#19,82,129,61
tiantan_aq#20,82,128,59
tiantan_aq#21,82,134,63
tiantan_aq#22,81,129,61
tiantan_aq#23,83,139,62
tiantan_aq#24,83,131,63
tiantan_aq#25,81,127,60
tiantan_aq#26,83,139,62
tiantan_aq#27,81,136,62
tiantan_aq#28,80,132,64
tiantan_aq#29,82,133,61
tiantan_aq#30,80,127,64
tiantan_aq#31,85,133,64
tiantan_aq#32,80,138,64
tiantan_aq#33,84,134,62
tiantan_aq#34,84,139,65
tiantan_aq#35,79,128,64
tiantan_aq#36,79,132,60
tiantan_aq#37,83,134,64
tiantan_aq#38,79,128,61
tiantan_aq#39,82,132,62
tiantan_aq#40,79,139,64
tiantan_aq#41,85,127,61
tiantan_aq#42,85,132,65
tiantan_aq#43,83,130,65
tiantan_aq#44,78,136,62
tiantan_aq#45,79,135,61
tiantan_aq#46,84,128,63
tiantan_aq#47,82,137,60
guanyuan_aq#0,82,124,59
guanyuan_aq#1,82,123,62
guanyuan_aq#2,82,133,57
guanyuan_aq#3,84,124,57
guanyuan_aq#4,81,124,59
guanyuan_aq#5,79,132,60
guanyuan_aq#6,86,132,57
guanyuan_aq#7,82,126,61
guanyuan_aq#8,86,129,61
guanyuan_aq#9,85,131,58
guanyuan_aq#10,79,125,61
guanyuan_aq#11,80,133,58
guanyuan_aq#12,83,132,59
guanyuan_aq#13,82,131,60
guanyuan_aq#14,85,123,61
guanyuan_aq#15,84,124,59
guanyuan_aq#16,80,128,59
guanyuan_aq#17,87,124,61
guanyuan_aq#18,81,126,60
guanyuan_aq#19,80,131,57
guanyuan_aq#20,82,132,60
guanyuan_aq#21,82,125,62
guanyuan_aq#22,84,125,60
guanyuan_aq#23,80,123,61
guanyuan_aq#24,87,123,59
guanyuan_aq#25,81,132,57
guanyuan_aq#26,81,134,60
guanyuan_aq#27,81,129,58
guanyuan_aq#28,80,125,61
guanyuan_aq#29,79,133,62
guanyuan_aq#30,81,133,61
guanyuan_aq#31,86,123,58
guanyuan_aq#32,83,132,60
guanyuan_aq#33,85,130,62
guanyuan_aq#34,87,129,61
guanyuan_aq#35,87,130,61
guanyuan_aq#36,82,134,56
guanyuan_aq#37,84,130,61
guanyuan_aq#38,87,123,62
guanyuan_aq#39,79,130,62
guanyuan_aq#40,81,133,59
guanyuan_aq#41,85,125,60
guanyuan_aq#42,86,127,59
guanyuan_aq#43,82,129,59
guanyuan_aq#44,82,129,58
guanyuan_aq#45,84,128,59
guanyuan_aq#46,81,127,58
guanyuan_aq#47,80,133,57
wanshouxigong_aq#0,73,102,65
wanshouxigong_aq#1,75,95,63
wanshouxigong_aq#2,73,98,68
wanshouxigong_aq#3,77,103,67
wanshouxigong_aq#4,73,94,65
wanshouxigong_aq#5,75,102,64
wanshouxigong_aq#6,76,100,65
wanshouxigong_aq#7,73,101,69
wanshouxigong_aq#8,76,100,67
wanshouxigong_aq#9,73,100,67
wanshouxigong_aq#10,76,94,69
wanshouxigong_aq#11,75,102,65
wanshouxigong_aq#12,77,97,65
wanshouxigong_aq#13,73,102,66
wanshouxigong_aq#14,72,103,63
wanshouxigong_aq#15,71,101,64
wanshouxigong_aq#16,76,96,65
wanshouxigong_aq#17,73,101,63
wanshouxigong_aq#18,71,101,65
wanshouxigong_aq#19,71,102,66
wanshouxigong_aq#20,75,95,64
wanshouxigong_aq#21,78,94,65
wanshouxigong_aq#22,76,97,66
wanshouxigong_aq#23,72,102,66
wanshouxigong_aq#24,74,99,69
wanshouxigong_aq#25,71,94,64
wanshouxigong_aq#26,77,99,63
wanshouxigong_aq#27,72,94,64
wanshouxigong_aq#28,74,100,66
wanshouxigong_aq#29,76,98,63
wanshouxigong_aq#30,74,94,63
wanshouxigong_aq#31,74,99,66
wanshouxigong_aq#32,75,102,66
wanshouxigong_aq#33,73,101,65
wanshouxigong_aq#34,76,95,63
wanshouxigong_aq#35,72,95,66
wanshouxigong_aq#36,72,99,63
wanshouxigong_aq#37,72,100,68
wanshouxigong_aq#38,77,95,69
wanshouxigong_aq#39,70,97,69
wanshouxigong_aq#40,73,103,68
wanshouxigong_aq#41,78,94,65
wanshouxigong_aq#42,77,100,68
