test_id,PM2.5,PM10,O3
dongsi_aq#0,77,104,52
dongsi_aq#1,81,98,51
dongsi_aq#2,74,100,55
dongsi_aq#3,75,105,56
dongsi_aq#4,76,98,56
dongsi_aq#5,79,97,53
dongsi_aq#6,75,101,55
dongsi_aq#7,78,102,56
dongsi_aq#8,76,107,55
dongsi_aq#9,78,105,55
dongsi_aq#10,74,98,52
dongsi_aq#11,79,106,52
dongsi_aq#12,76,101,54
dongsi_aq#13,77,97,51
dongsi_aq#14,76,100,53
dongsi_aq#15,81,106,54
dongsi_aq#16,77,106,53
dongsi_aq#17,80,102,56
dongsi_aq#18,80,103,52
dongsi_aq#19,79,101,56
dongsi_aq#20,81,100,56
dongsi_aq#21,78,101,54
dongsi_aq#22,76,105,55
dongsi_aq#23,79,103,51
dongsi_aq#24,76,99,52
dongsi_aq#25,78,99,52
dongsi_aq#26,80,101,56
dongsi_aq#27,81,101,52
dongsi_aq#28,78,101,54
dongsi_aq#29,75,103,56
dongsi_aq#30,74,99,56
dongsi_aq#31,76,106,54
dongsi_aq#32,81,105,55
dongsi_aq#33,77,101,56
dongsi_aq#34,81,104,55
dongsi_aq#35,75,98,53
dongsi_aq#36,75,98,52
dongsi_aq#37,75,97,51
dongsi_aq#38,78,103,51
dongsi_aq#39,80,99,53
dongsi_aq#40,78,105,53
dongsi_aq#41,76,99,53
dongsi_aq#42,78,102,56
dongsi_aq#43,77,106,51
dongsi_aq#44,74,97,55
dongsi_aq#45,78,101,51
dongsi_aq#46,74,99,53
dongsi_aq#47,80,106,52
tiantan_aq#0,81,130,60
tiantan_aq#1,82,139,64
tiantan_aq#2,79,139,62
tiantan_aq#3,85,127,60
tiantan_aq#4,83,132,61
tiantan_aq#5,84,137,62
tiantan_aq#6,87,132,60
tiantan_aq#7,79,139,60
tiantan_aq#8,84,128,65
tiantan_aq#9,82,130,64
tiantan_aq#10,85,136,63
tiantan_aq#11,85,128,60
tiantan_aq#12,86,129,63
tiantan_aq#13,80,127,64
tiantan_aq#14,79,129,60
tiantan_aq#15,84,133,60
tiantan_aq#16,82,132,60
tiantan_aq#17,86,139,61
tiantan_aq#18,80,137,60
tiantan_aq#19,82,132,64
tiantan_aq#20,86,128,61
tiantan_aq#21,80,139,62
tiantan_aq#22,82,135,64
tiantan_aq#23,82,131,64
tiantan_aq#24,86,139,61
tiantan_aq#25,79,128,62
tiantan_aq#26,79,128,62
tiantan_aq#27,82,132,63
tiantan_aq#28,83,127,61
tiantan_aq#29,82,130,62
tiantan_aq#30,85,130,63
tiantan_aq#31,86,135,63
tiantan_aq#32,85,138,60
tiantan_aq#33,84,136,64
tiantan_aq#34,85,131,61
tiantan_aq#35,79,135,64
tiantan_aq#36,81,129,64
tiantan_aq#37,86,132,61
tiantan_aq#38,86,127,60
tiantan_aq#39,86,133,62
tiantan_aq#40,86,129,60
tiantan_aq#41,80,130,64
tiantan_aq#42,78,136,61
tiantan_aq#43,79,137,61
tiantan_aq#44,79,135,65
tiantan_aq#45,84,139,60
tiantan_aq#46,81,132,61
tiantan_aq#47,83,140,65
guanyuan_aq#0,83,124,58
guanyuan_aq#1,86,127,60
guanyuan_aq#2,83,130,58
guanyuan_aq#3,83,132,62
guanyuan_aq#4,86,128,61
guanyuan_aq#5,87,122,58
guanyuan_aq#6,80,132,61
guanyuan_aq#7,82,132,61
guanyuan_aq#8,84,125,58
guanyuan_aq#9,85,134,59
guanyuan_aq#10,85,132,57
guanyuan_aq#11,86,123,62
guanyuan_aq#12,87,129,59
guanyuan_aq#13,85,129,61
guanyuan_aq#14,84,127,59
guanyuan_aq#15,80,133,60
guanyuan_aq#16,80,128,58
guanyuan_aq#17,82,122,61
guanyuan_aq#18,81,129,61
guanyuan_aq#19,84,124,62
guanyuan_aq#20,86,130,61
guanyuan_aq#21,81,133,61
guanyuan_aq#22,80,130,59
guanyuan_aq#23,83,125,57
guanyuan_aq#24,84,129,62
guanyuan_aq#25,85,123,57
guanyuan_aq#26,84,125,59
guanyuan_aq#27,83,126,58
guanyuan_aq#28,83,132,59
guanyuan_aq#29,83,129,61
guanyuan_aq#30,80,125,62
guanyuan_aq#31,84,126,61
guanyuan_aq#32,84,131,62
guanyuan_aq#33,81,128,59
guanyuan_aq#34,85,122,57
guanyuan_aq#35,80,126,58
guanyuan_aq#36,85,134,60
guanyuan_aq#37,82,123,59
guanyuan_aq#38,82,130,58
guanyuan_aq#39,80,123,58
guanyuan_aq#40,83,127,61
guanyuan_aq#41,84,127,60
guanyuan_aq#42,85,123,58
guanyuan_aq#43,86,128,56
guanyuan_aq#44,80,130,62
guanyuan_aq#45,86,130,59
guanyuan_aq#46,81,123,62
guanyuan_aq#47,82,127,60
wanshouxigong_aq#0,73,96,64
wanshouxigong_aq#1,76,101,65
wanshouxigong_aq#2,71,97,67
wanshouxigong_aq#3,73,99,66
wanshouxigong_aq#4,73,102,67
wanshouxigong_aq#5,71,102,68
wanshouxigong_aq#6,71,94,69
wanshouxigong_aq#7,71,96,67
wanshouxigong_aq#8,75,96,68
wanshouxigong_aq#9,73,101,69
wanshouxigong_aq#10,72,95,64
wanshouxigong_aq#11,75,96,64
wanshouxigong_aq#12,76,102,63
wanshouxigong_aq#13,72,95,68
wanshouxigong_aq#14,77,97,67
wanshouxigong_aq#15,72,95,67
wanshouxigong_aq#16,75,93,68
wanshouxigong_aq#17,73,101,68
wanshouxigong_aq#18,74,98,68
wanshouxigong_aq#19,72,101,63
wanshouxigong_aq#20,74,93,63
wanshouxigong_aq#21,71,99,66
wanshouxigong_aq#22,72,96,65
wanshouxigong_aq#23,74,96,68
wanshouxigong_aq#24,73,98,69
wanshouxigong_aq#25,72,102,69
wanshouxigong_aq#26,72,98,67
wanshouxigong_aq#27,74,97,68
wanshouxigong_aq#28,71,93,65
wanshouxigong_aq#29,72,95,64
wanshouxigong_aq#30,77,100,67
wanshouxigong_aq#31,74,99,66
wanshouxigong_aq#32,71,102,65
wanshouxigong_aq#33,72,94,63
wanshouxigong_aq#34,74,94,63
wanshouxigong_aq#35,78,96,67
wanshouxigong_aq#36,76,101,69
wanshouxigong_aq#37,73,102,65
wanshouxigong_aq#38,77,99,68
wanshouxigong_aq#39,75,97,67
wanshouxigong_aq#40,73,102,67
wanshouxigong_aq#41,72,94,63
wanshouxigong_aq#42,73,102,67
wanshouxigong_aq#43,76,100,66
wanshouxigong_aq#44,76,97,68
wanshouxigong_aq#45,73,99,66
wanshouxigong_aq#46,73,98,68
wanshouxigong_aq#47,77,96,63
aotizhongxin_aq#0,94,145,68
aotizhongxin_aq#1,93,132,66
aotizhongxin_aq#2,94,132,63
aotizhongxin_aq#3,91,142,65
aotizhongxin_aq#4,91,141,69
aotizhongxin_aq#5,91,139,65
aotizhongxin_aq#6,88,136,64
aotizhongxin_aq#7,94,137,67
aotizhongxin_aq#8,89,136,64
aotizhongxin_aq#9,95,140,66
aotizhongxin_aq#10,92,137,67
aotizhongxin_aq#11,95,132,67
aotizhongxin_aq#12,91,142,63
aotizhongxin_aq#13,87,140,65
aotizhongxin_aq#14,92,141,67
aotizhongxin_aq#15,95,141,63
aotizhongxin_aq#16,89,141,64
aotizhongxin_aq#17,92,132,65
aotizhongxin_aq#18,93,144,67
aotizhongxin_aq#19,95,133,64
aotizhongxin_aq#20,89,139,65
aotizhongxin_aq#21,92,137,66
aotizhongxin_aq#22,96,134,68
aotizhongxin_aq#23,89,134,64
aotizhongxin_aq#24,89,137,66
aotizhongxin_aq#25,93,137,63
aotizhongxin_aq#26,93,139,66
aotizhongxin_aq#27,88,138,66
aotizhongxin_aq#28,87,134,67
aotizhongxin_aq#29,89,137,66
aotizhongxin_aq#30,90,136,64
aotizhongxin_aq#31,92,142,68
aotizhongxin_aq#32,91,134,63
aotizhongxin_aq#33,96,142,68
aotizhongxin_aq#34,91,136,66
aotizhongxin_aq#35,96,131,65
aotizhongxin_aq#36,94,136,63
aotizhongxin_aq#37,94,141,64
aotizhongxin_aq#38,88,141,67
aotizhongxin_aq#39,95,145,65
aotizhongxin_aq#40,93,133,62
aotizhongxin_aq#41,96,134,66
aotizhongxin_aq#42,94,136,65
aotizhongxin_aq#43,88,144,64
aotizhongxin_aq#44,90,138,64
aotizhongxin_aq#45,91,135,67
aotizhongxin_aq#46,88,138,62
aotizhongxin_aq#47,89,134,64
nongzhanguan_aq#0,77,120,60
nongzhanguan_aq#1,84,120,59
nongzhanguan_aq#2,78,116,54
nongzhanguan_aq#3,81,119,59
nongzhanguan_aq#4,78,124,58
nongzhanguan_aq#5,77,117,58
nongzhanguan_aq#6,78,120,59
nongzhanguan_aq#7,83,123,55
nongzhanguan_aq#8,84,116,57
nongzhanguan_aq#9,82,120,60
nongzhanguan_aq#10,83,124,56
nongzhanguan_aq#11,84,116,56
nongzhanguan_aq#12,84,122,57
nongzhanguan_aq#13,79,120,57
nongzhanguan_aq#14,80,120,57
nongzhanguan_aq#15,79,125,59
nongzhanguan_aq#16,80,117,59
nongzhanguan_aq#17,83,124,57
nongzhanguan_aq#18,82,117,55
nongzhanguan_aq#19,84,124,59
nongzhanguan_aq#20,84,125,56
nongzhanguan_aq#21,84,115,56
nongzhanguan_aq#22,79,118,58
nongzhanguan_aq#23,77,123,57
nongzhanguan_aq#24,77,118,55
nongzhanguan_aq#25,79,122,57
nongzhanguan_aq#26,81,116,55
nongzhanguan_aq#27,79,115,60
nongzhanguan_aq#28,82,118,55
nongzhanguan_aq#29,82,117,60
nongzhanguan_aq#30,82,116,60
nongzhanguan_aq#31,77,125,57
nongzhanguan_aq#32,80,123,59
nongzhanguan_aq#33,78,121,55
nongzhanguan_aq#34,82,122,54
nongzhanguan_aq#35,81,115,55
