test_id,PM2.5,PM10,O3
dongsi_aq#0,78,104,54
dongsi_aq#1,80,105,54
dongsi_aq#2,80,98,52
dongsi_aq#3,78,98,56
dongsi_aq#4,76,106,54
dongsi_aq#5,77,98,52
dongsi_aq#6,79,102,55
dongsi_aq#7,80,101,54
dongsi_aq#8,81,98,55
dongsi_aq#9,75,98,53
dongsi_aq#10,77,105,53
dongsi_aq#11,81,105,55
dongsi_aq#12,79,98,55
dongsi_aq#13,78,100,53
dongsi_aq#14,76,99,56
dongsi_aq#15,82,101,52
dongsi_aq#16,81,97,56
dongsi_aq#17,81,105,54
dongsi_aq#18,78,104,55
dongsi_aq#19,76,103,53
dongsi_aq#20,79,99,52
dongsi_aq#21,79,103,55
dongsi_aq#22,76,102,54
dongsi_aq#23,81,104,54
dongsi_aq#24,82,104,56
dongsi_aq#25,80,98,55
dongsi_aq#26,76,102,56
dongsi_aq#27,77,103,55
dongsi_aq#28,79,103,53
dongsi_aq#29,77,100,56
dongsi_aq#30,80,100,55
dongsi_aq#31,75,101,53
dongsi_aq#32,76,106,55
dongsi_aq#33,82,104,53
dongsi_aq#34,80,103,55
dongsi_aq#35,80,107,56
dongsi_aq#36,76,107,56
dongsi_aq#37,77,107,52
dongsi_aq#38,80,106,55
dongsi_aq#39,81,104,55
dongsi_aq#40,77,107,53
dongsi_aq#41,76,101,55
dongsi_aq#42,80,99,54
dongsi_aq#43,81,97,54
dongsi_aq#44,79,98,54
dongsi_aq#45,75,101,53
dongsi_aq#46,75,104,55
dongsi_aq#47,81,98,55
tiantan_aq#0,80,136,60
tiantan_aq#1,80,139,64
tiantan_aq#2,84,136,61
tiantan_aq#3,84,139,62
tiantan_aq#4,80,133,62
tiantan_aq#5,79,127,60
tiantan_aq#6,85,128,64
tiantan_aq#7,79,137,62
tiantan_aq#8,83,127,62
tiantan_aq#9,81,128,65
tiantan_aq#10,78,135,61
tiantan_aq#11,83,133,61
tiantan_aq#12,79,131,65
tiantan_aq#13,85,135,65
tiantan_aq#14,81,138,63
tiantan_aq#15,81,130,62
tiantan_aq#16,87,137,61
tiantan_aq#17,81,128,61
tiantan_aq#18,85,129,60
tiantan_aq#19,78,139,59
tiantan_aq#20,82,135,65
tiantan_aq#21,86,132,63
tiantan_aq#22,80,137,61
tiantan_aq#23,83,134,65
tiantan_aq#24,84,134,65
tiantan_aq#25,82,138,62
tiantan_aq#26,82,127,60
tiantan_aq#27,82,128,61
tiantan_aq#28,80,138,65
tiantan_aq#29,81,128,64
tiantan_aq#30,80,130,60
tiantan_aq#31,82,137,64
tiantan_aq#32,86,129,61
tiantan_aq#33,86,138,64
tiantan_aq#34,83,128,64
tiantan_aq#35,79,138,63
tiantan_aq#36,80,137,65
tiantan_aq#37,78,131,64
tiantan_aq#38,83,135,61
tiantan_aq#39,79,130,64
tiantan_aq#40,84,134,63
tiantan_aq#41,79,138,62
tiantan_aq#42,82,128,62
tiantan_aq#43,85,130,63
tiantan_aq#44,86,136,60
tiantan_aq#45,84,130,65
tiantan_aq#46,82,138,62
tiantan_aq#47,80,137,65
guanyuan_aq#0,83,125,60
guanyuan_aq#1,87,134,57
guanyuan_aq#2,80,132,61
guanyuan_aq#3,81,128,62
guanyuan_aq#4,80,131,58
guanyuan_aq#5,85,132,58
guanyuan_aq#6,83,128,60
guanyuan_aq#7,85,125,62
guanyuan_aq#8,86,125,62
guanyuan_aq#9,84,124,58
guanyuan_aq#10,87,128,59
guanyuan_aq#11,83,126,62
guanyuan_aq#12,79,127,60
guanyuan_aq#13,85,134,57
guanyuan_aq#14,81,126,60
guanyuan_aq#15,87,127,61
guanyuan_aq#16,85,131,60
guanyuan_aq#17,84,131,62
guanyuan_aq#18,80,132,61
guanyuan_aq#19,84,133,57
guanyuan_aq#20,81,123,59
guanyuan_aq#21,84,126,60
guanyuan_aq#22,82,130,61
guanyuan_aq#23,85,130,60
guanyuan_aq#24,81,126,60
guanyuan_aq#25,86,129,60
guanyuan_aq#26,87,126,60
guanyuan_aq#27,83,123,60
guanyuan_aq#28,87,126,57
guanyuan_aq#29,80,125,62
guanyuan_aq#30,86,130,57
guanyuan_aq#31,83,131,57
guanyuan_aq#32,81,133,59
guanyuan_aq#33,86,126,59
guanyuan_aq#34,80,127,57
guanyuan_aq#35,83,127,57
guanyuan_aq#36,80,132,62
guanyuan_aq#37,82,133,58
guanyuan_aq#38,79,133,59
guanyuan_aq#39,82,124,60
guanyuan_aq#40,80,122,59
guanyuan_aq#41,80,131,57
guanyuan_aq#42,87,125,60
guanyuan_aq#43,86,124,58
guanyuan_aq#44,86,130,60
guanyuan_aq#45,84,123,60
guanyuan_aq#46,81,129,61
guanyuan_aq#47,80,126,61
wanshouxigong_aq#0,77,99,65
wanshouxigong_aq#1,77,93,66
wanshouxigong_aq#2,73,100,65
wanshouxigong_aq#3,73,100,66
wanshouxigong_aq#4,70,100,67
wanshouxigong_aq#5,71,94,63
wanshouxigong_aq#6,73,101,66
wanshouxigong_aq#7,75,96,65
wanshouxigong_aq#8,70,94,64
wanshouxigong_aq#9,75,94,66
wanshouxigong_aq#10,73,102,69
wanshouxigong_aq#11,71,94,66
wanshouxigong_aq#12,77,94,64
wanshouxigong_aq#13,75,101,66
wanshouxigong_aq#14,73,96,64
wanshouxigong_aq#15,74,96,65
wanshouxigong_aq#16,73,93,69
wanshouxigong_aq#17,73,101,67
wanshouxigong_aq#18,72,97,68
wanshouxigong_aq#19,75,102,66
wanshouxigong_aq#20,73,93,65
wanshouxigong_aq#21,72,95,64
wanshouxigong_aq#22,72,101,68
wanshouxigong_aq#23,76,100,63
wanshouxigong_aq#24,74,96,64
wanshouxigong_aq#25,73,94,63
wanshouxigong_aq#26,77,102,64
wanshouxigong_aq#27,70,98,64
wanshouxigong_aq#28,75,95,67
wanshouxigong_aq#29,71,102,63
wanshouxigong_aq#30,76,102,65
wanshouxigong_aq#31,75,96,64
wanshouxigong_aq#32,72,101,64
wanshouxigong_aq#33,75,95,63
wanshouxigong_aq#34,71,93,69
wanshouxigong_aq#35,73,97,69
wanshouxigong_aq#36,72,94,69
wanshouxigong_aq#37,76,97,66
wanshouxigong_aq#38,77,101,64
wanshouxigong_aq#39,73,94,63
wanshouxigong_aq#40,73,97,67
wanshouxigong_aq#41,70,99,66
wanshouxigong_aq#42,76,97,68
wanshouxigong_aq#43,77,97,64
wanshouxigong_aq#44,70,95,67
wanshouxigong_aq#45,77,102,63
wanshouxigong_aq#46,76,97,63
wanshouxigong_aq#47,71,96,63
aotizhongxin_aq#0,96,135,66
aotizhongxin_aq#1,93,142,68
aotizhongxin_aq#2,89,137,63
aotizhongxin_aq#3,94,139,66
aotizhongxin_aq#4,88,142,66
aotizhongxin_aq#5,93,134,68
aotizhongxin_aq#6,88,139,62
aotizhongxin_aq#7,90,138,65
aotizhongxin_aq#8,91,141,65
aotizhongxin_aq#9,87,134,66
aotizhongxin_aq#10,96,144,68
aotizhongxin_aq#11,93,132,65
aotizhongxin_aq#12,88,135,66
aotizhongxin_aq#13,96,131,68
aotizhongxin_aq#14,90,132,64
aotizhongxin_aq#15,88,140,69
aotizhongxin_aq#16,92,138,64
aotizhongxin_aq#17,93,132,65
aotizhongxin_aq#18,92,145,67
aotizhongxin_aq#19,90,143,63
aotizhongxin_aq#20,90,142,65
aotizhongxin_aq#21,92,134,66
aotizhongxin_aq#22,90,141,65
aotizhongxin_aq#23,88,133,67
aotizhongxin_aq#24,87,134,66
aotizhongxin_aq#25,91,144,66
aotizhongxin_aq#26,92,142,67
aotizhongxin_aq#27,92,144,67
aotizhongxin_aq#28,93,145,65
aotizhongxin_aq#29,95,137,63
aotizhongxin_aq#30,89,134,64
aotizhongxin_aq#31,92,135,67
aotizhongxin_aq#32,88,134,66
aotizhongxin_aq#33,93,138,67
aotizhongxin_aq#34,90,138,65
aotizhongxin_aq#35,90,142,65
aotizhongxin_aq#36,90,143,63
aotizhongxin_aq#37,92,139,65
aotizhongxin_aq#38,89,138,67
aotizhongxin_aq#39,91,131,64
aotizhongxin_aq#40,93,132,66
aotizhongxin_aq#41,93,136,65
aotizhongxin_aq#42,88,134,68
aotizhongxin_aq#43,96,132,63
aotizhongxin_aq#44,96,132,68
aotizhongxin_aq#45,94,138,63
aotizhongxin_aq#46,96,144,65
aotizhongxin_aq#47,96,144,65
nongzhanguan_aq#0,79,115,55
nongzhanguan_aq#1,84,125,57
nongzhanguan_aq#2,78,123,55
nongzhanguan_aq#3,79,124,60
nongzhanguan_aq#4,83,120,57
nongzhanguan_aq#5,80,124,59
nongzhanguan_aq#6,81,123,59
nongzhanguan_aq#7,82,115,57
