id,station_id,time,weather,temperature,pressure,humidity,wind_speed,wind_direction
3737853,shunyi_meo,2018-05-18 00:00:00,Sunny/clear,21.4,1007.7,58.0,2.6,40.0
3737854,hadian_meo,2018-05-18 00:00:00,Hail,21.1,1005.5,59.0,1.1,48.0
3737855,yanqing_meo,2018-05-18 00:00:00,Sunny/clear,17.8,955.5,75.0,0.5,237.0
3737856,miyun_meo,2018-05-18 00:00:00,Sunny/clear,21.1,1002.9,61.0,2.0,30.0
3737857,huairou_meo,2018-05-18 00:00:00,Sunny/clear,21.6,1002.3,63.0,1.9,95.0
3737858,shangdianzi_meo,2018-05-18 00:00:00,Sunny/clear,20.5,977.5,57.0,2.7,58.0
3737859,pinggu_meo,2018-05-18 00:00:00,Sunny/clear,21.5,1007.2,62.0,0.8,169.0
3737860,tongzhou_meo,2018-05-18 00:00:00,Sunny/clear,20.5,1008.6,70.0,1.0,45.0
3737861,chaoyang_meo,2018-05-18 00:00:00,Sunny/clear,21.1,1007.0,60.0,1.0,33.0
3737862,pingchang_meo,2018-05-18 00:00:00,Sunny/clear,21.7,1002.2,66.0,0.9,175.0
3737863,zhaitang_meo,2018-05-18 00:00:00,Sunny/clear,18.2,960.5,87.0,1.1,325.0
3737864,mentougou_meo,2018-05-18 00:00:00,Sunny/clear,20.8,1001.2,61.0,2.2,24.0
3737865,beijing_meo,2018-05-18 00:00:00,Sunny/clear,21.2,1007.1,66.0,2.1,54.0
3737866,shijingshan_meo,2018-05-18 00:00:00,Sunny/clear,20.9,1003.6,63.0,1.7,25.0
3737867,fengtai_meo,2018-05-18 00:00:00,Sunny/clear,22.0,1004.5,58.0,1.5,48.0
3737868,daxing_meo,2018-05-18 00:00:00,Sunny/clear,21.7,1006.2,64.0,1.3,59.0
3737869,fangshan_meo,2018-05-18 00:00:00,Sunny/clear,21.5,1005.2,62.0,2.0,32.0
3737870,xiayunling_meo,2018-05-18 00:00:00,Sunny/clear,19.1,963.9,78.0,2.0,314.0
3739386,shunyi_meo,2018-05-18 01:00:00,Sunny/clear,23.2,1008.0,52.0,2.8,27.0
3739387,hadian_meo,2018-05-18 01:00:00,Hail,22.6,1005.9,54.0,1.5,60.0
3739388,yanqing_meo,2018-05-18 01:00:00,Sunny/clear,19.7,955.8,70.0,0.6,307.0
3739389,miyun_meo,2018-05-18 01:00:00,Sunny/clear,22.6,1003.0,55.0,2.6,55.0
3739390,huairou_meo,2018-05-18 01:00:00,Sunny/clear,23.4,1002.4,53.0,2.5,101.0
3739391,shangdianzi_meo,2018-05-18 01:00:00,Sunny/clear,22.3,977.6,50.0,1.6,73.0
3739392,pinggu_meo,2018-05-18 01:00:00,Sunny/clear,22.8,1007.2,54.0,1.3,218.0
3739393,tongzhou_meo,2018-05-18 01:00:00,Sunny/clear,21.9,1009.2,59.0,1.3,27.0
3739394,chaoyang_meo,2018-05-18 01:00:00,Sunny/clear,22.0,1007.6,54.0,1.8,51.0
3739395,pingchang_meo,2018-05-18 01:00:00,Sunny/clear,23.1,1002.6,62.0,1.8,135.0
3739396,zhaitang_meo,2018-05-18 01:00:00,Sunny/clear,20.7,960.8,76.0,0.4,60.0
3739397,mentougou_meo,2018-05-18 01:00:00,Sunny/clear,22.1,1001.7,56.0,1.5,57.0
3739398,beijing_meo,2018-05-18 01:00:00,Sunny/clear,22.0,1007.6,57.0,2.6,74.0
3739399,shijingshan_meo,2018-05-18 01:00:00,Sunny/clear,22.5,1004.0,54.0,2.7,50.0
3739400,fengtai_meo,2018-05-18 01:00:00,Sunny/clear,23.5,1005.0,51.0,2.7,68.0
3739401,daxing_meo,2018-05-18 01:00:00,Sunny/clear,22.5,1006.9,58.0,2.0,41.0
3739402,fangshan_meo,2018-05-18 01:00:00,Sunny/clear,22.6,1005.6,59.0,2.2,62.0
3739403,xiayunling_meo,2018-05-18 01:00:00,Sunny/clear,21.0,964.2,70.0,1.5,4.0
3740919,shunyi_meo,2018-05-18 02:00:00,Sunny/clear,24.6,1008.1,45.0,2.7,37.0
3740920,hadian_meo,2018-05-18 02:00:00,Hail,24.7,1006.1,44.0,0.8,33.0
3740921,yanqing_meo,2018-05-18 02:00:00,Sunny/clear,21.6,955.9,61.0,1.0,15.0
3740922,miyun_meo,2018-05-18 02:00:00,Sunny/clear,24.4,1003.0,49.0,2.0,53.0
3740923,huairou_meo,2018-05-18 02:00:00,Sunny/clear,24.7,1002.4,51.0,2.7,116.0
3740924,shangdianzi_meo,2018-05-18 02:00:00,Sunny/clear,23.4,977.6,45.0,1.3,195.0
3740925,pinggu_meo,2018-05-18 02:00:00,Sunny/clear,23.9,1007.3,53.0,1.9,202.0
3740926,tongzhou_meo,2018-05-18 02:00:00,Sunny/clear,24.2,1009.2,42.0,1.7,113.0
3740927,chaoyang_meo,2018-05-18 02:00:00,Sunny/clear,24.8,1007.5,42.0,2.9,117.0
3740928,pingchang_meo,2018-05-18 02:00:00,Sunny/clear,24.5,1002.6,55.0,2.5,154.0
3740929,zhaitang_meo,2018-05-18 02:00:00,Sunny/clear,22.3,960.7,65.0,1.1,322.0
3740930,mentougou_meo,2018-05-18 02:00:00,Sunny/clear,24.3,1001.7,47.0,2.3,79.0
3740931,beijing_meo,2018-05-18 02:00:00,Sunny/clear,23.6,1007.8,43.0,2.6,79.0
3740932,shijingshan_meo,2018-05-18 02:00:00,Sunny/clear,23.6,1004.2,49.0,2.8,348.0
3740933,fengtai_meo,2018-05-18 02:00:00,Sunny/clear,24.8,1005.1,46.0,2.7,72.0
3740934,daxing_meo,2018-05-18 02:00:00,Sunny/clear,23.2,1007.1,53.0,2.9,99.0
3740935,fangshan_meo,2018-05-18 02:00:00,Sunny/clear,24.5,1005.9,47.0,2.2,96.0
3740936,xiayunling_meo,2018-05-18 02:00:00,Sunny/clear,21.8,964.5,64.0,0.9,322.0
3742452,shunyi_meo,2018-05-18 03:00:00,Sunny/clear,25.7,1007.8,44.0,2.2,7.0
3742453,hadian_meo,2018-05-18 03:00:00,Sunny/clear,26.1,1005.9,45.0,0.5,234.0
3742454,yanqing_meo,2018-05-18 03:00:00,Sunny/clear,23.0,955.8,59.0,0.4,148.0
3742455,miyun_meo,2018-05-18 03:00:00,Sunny/clear,26.0,1002.7,44.0,3.1,24.0
3742456,huairou_meo,2018-05-18 03:00:00,Sunny/clear,26.3,1002.1,49.0,1.8,168.0
3742457,shangdianzi_meo,2018-05-18 03:00:00,Sunny/clear,25.5,977.3,38.0,1.5,129.0
3742458,pinggu_meo,2018-05-18 03:00:00,Sunny/clear,25.1,1007.2,51.0,1.6,260.0
3742459,tongzhou_meo,2018-05-18 03:00:00,Sunny/clear,25.2,1009.1,44.0,1.2,106.0
3742460,chaoyang_meo,2018-05-18 03:00:00,Sunny/clear,24.8,1007.4,43.0,1.0,303.0
3742461,pingchang_meo,2018-05-18 03:00:00,Sunny/clear,26.0,1002.4,46.0,2.7,172.0
3742462,zhaitang_meo,2018-05-18 03:00:00,Sunny/clear,22.6,960.8,61.0,3.0,34.0
3742463,mentougou_meo,2018-05-18 03:00:00,Sunny/clear,25.3,1001.7,47.0,1.8,70.0
3742464,beijing_meo,2018-05-18 03:00:00,Sunny/clear,24.8,1007.8,39.0,1.3,156.0
3742465,shijingshan_meo,2018-05-18 03:00:00,Sunny/clear,25.2,1004.1,44.0,1.1,278.0
3742466,fengtai_meo,2018-05-18 03:00:00,Sunny/clear,25.8,1005.1,47.0,1.9,160.0
3742467,daxing_meo,2018-05-18 03:00:00,Sunny/clear,25.1,1007.1,44.0,2.4,116.0
3742468,fangshan_meo,2018-05-18 03:00:00,Sunny/clear,25.7,1005.9,46.0,0.8,106.0
3742469,xiayunling_meo,2018-05-18 03:00:00,Sunny/clear,22.3,964.7,63.0,1.1,286.0
3743985,shunyi_meo,2018-05-18 04:00:00,Sunny/clear,26.3,1007.6,40.0,2.6,48.0
