id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
3015641,CD1,2018-05-27 00:00:00,30.9,34.6,34.1,,,
3015642,BL0,2018-05-27 00:00:00,,,,,,
3015643,GR4,2018-05-27 00:00:00,21.1,28.9,10.2,,,
3015644,MY7,2018-05-27 00:00:00,32.8,46.7,,,,
3015645,HV1,2018-05-27 00:00:00,29.4,37.3,19.6,,,
3015646,GN3,2018-05-27 00:00:00,34.7,46.5,24.0,,,
3015647,GR9,2018-05-27 00:00:00,34.2,43.5,42.4,,,
3015648,LW2,2018-05-27 00:00:00,,,,,,
3015649,GN0,2018-05-27 00:00:00,,45.0,40.5,,,
3015650,KF1,2018-05-27 00:00:00,23.9,32.1,,,,
3015651,CD9,2018-05-27 00:00:00,,,73.7,,,
3015652,CT3,2018-05-27 00:00:00,,,,,,
3015653,CT2,2018-05-27 00:00:00,30.0,,,,,
3015654,BX9,2018-05-27 00:00:00,24.5,,,,,
3015655,BX1,2018-05-27 00:00:00,,40.0,8.1,,,
3015656,TH4,2018-05-27 00:00:00,,51.6,42.1,,,
3015657,ST5,2018-05-27 00:00:00,,36.0,13.4,,,
3015658,RB7,2018-05-27 00:00:00,,41.6,23.6,,,
3015659,TD5,2018-05-27 00:00:00,37.9,,,,,
3015697,CD1,2018-05-27 01:00:00,20.1,24.7,12.8,,,
3015698,BL0,2018-05-27 01:00:00,17.3,28.4,23.9,,,
3015699,GR4,2018-05-27 01:00:00,25.8,31.1,12.6,,,
3015700,MY7,2018-05-27 01:00:00,24.3,39.3,,,,
3015701,HV1,2018-05-27 01:00:00,24.4,31.1,8.9,,,
3015702,GN3,2018-05-27 01:00:00,27.4,37.9,12.7,,,
3015703,GR9,2018-05-27 01:00:00,,,,,,
3015704,LW2,2018-05-27 01:00:00,,,,,,
3015705,GN0,2018-05-27 01:00:00,,31.5,29.5,,,
3015706,KF1,2018-05-27 01:00:00,19.1,26.9,,,,
3015707,CD9,2018-05-27 01:00:00,,,44.3,,,
3015708,CT3,2018-05-27 01:00:00,,39.2,17.1,,,
3015709,CT2,2018-05-27 01:00:00,41.0,,,,,
3015710,BX9,2018-05-27 01:00:00,23.6,,,,,
3015711,BX1,2018-05-27 01:00:00,,29.9,8.3,,,
3015712,TH4,2018-05-27 01:00:00,,40.7,22.2,,,
3015713,ST5,2018-05-27 01:00:00,,,19.5,,,
3015714,RB7,2018-05-27 01:00:00,,37.8,10.4,,,
3015715,TD5,2018-05-27 01:00:00,31.4,,,,,
3015753,CD1,2018-05-27 02:00:00,26.6,30.1,11.6,,,
3015754,BL0,2018-05-27 02:00:00,,,,,,
3015755,GR4,2018-05-27 02:00:00,22.1,25.7,7.5,,,
3015756,MY7,2018-05-27 02:00:00,22.6,34.3,,,,
