id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2982040,CD1,2018-05-02 00:00:00,6.7,10.6,26.3,,,
2982041,BL0,2018-05-02 00:00:00,,,,,,
2982042,GR4,2018-05-02 00:00:00,5.7,7.4,4.3,,,
2982043,MY7,2018-05-02 00:00:00,7.5,13.3,,,,
2982044,HV1,2018-05-02 00:00:00,8.9,11.8,15.9,,,
2982045,GN3,2018-05-02 00:00:00,5.4,11.1,11.5,,,
2982046,GR9,2018-05-02 00:00:00,4.6,8.9,10.8,,,
2982047,LW2,2018-05-02 00:00:00,2.6,9.4,14.5,,,
2982048,GN0,2018-05-02 00:00:00,,8.4,10.8,,,
2982049,KF1,2018-05-02 00:00:00,3.5,5.8,,,,
2982050,CD9,2018-05-02 00:00:00,,,59.4,,,
2982051,CT3,2018-05-02 00:00:00,25.0,15.8,10.2,,,
2982052,CT2,2018-05-02 00:00:00,,,,,,
2982053,BX9,2018-05-02 00:00:00,6.4,,,,,
2982054,BX1,2018-05-02 00:00:00,,11.3,7.0,,,
2982055,TH4,2018-05-02 00:00:00,8.7,13.4,,,,
2982056,ST5,2018-05-02 00:00:00,4.0,10.0,18.5,,,
2982057,RB7,2018-05-02 00:00:00,7.0,8.6,19.1,,,
2982058,TD5,2018-05-02 00:00:00,6.9,,,,,
2982096,CD1,2018-05-02 01:00:00,7.2,11.9,17.7,,,
2982097,BL0,2018-05-02 01:00:00,2.4,9.3,9.2,,,
2982098,GR4,2018-05-02 01:00:00,4.3,8.5,5.9,,,
2982099,MY7,2018-05-02 01:00:00,6.0,11.8,,,,
2982100,HV1,2018-05-02 01:00:00,0.1,4.5,11.2,,,
2982101,GN3,2018-05-02 01:00:00,5.6,7.8,7.9,,,
2982102,GR9,2018-05-02 01:00:00,5.4,10.9,12.2,,,
2982103,LW2,2018-05-02 01:00:00,3.3,10.2,10.7,,,
2982104,GN0,2018-05-02 01:00:00,,7.1,9.7,,,
2982105,KF1,2018-05-02 01:00:00,3.4,5.8,,,,
