id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2952428,CD1,2018-04-09 00:00:00,14.1,15.5,52.8,,,
2952429,BL0,2018-04-09 00:00:00,11.1,16.4,59.3,,,
2952430,GR4,2018-04-09 00:00:00,21.7,19.7,25.7,,,
2952431,MY7,2018-04-09 00:00:00,14.2,13.8,,,,
2952432,HV1,2018-04-09 00:00:00,21.2,22.5,18.5,,,
2952433,GN3,2018-04-09 00:00:00,21.7,24.0,29.1,,,
2952434,GR9,2018-04-09 00:00:00,21.4,29.6,57.3,,,
2952435,LW2,2018-04-09 00:00:00,,,,,,
2952484,CD1,2018-04-09 01:00:00,13.5,17.5,68.2,,,
2952485,BL0,2018-04-09 01:00:00,10.4,14.8,52.6,,,
2952486,GR4,2018-04-09 01:00:00,23.3,26.5,26.0,,,
2952487,MY7,2018-04-09 01:00:00,10.4,13.6,,,,
2952488,HV1,2018-04-09 01:00:00,22.3,23.4,14.0,,,
2952489,GN3,2018-04-09 01:00:00,19.6,23.4,35.3,,,
2952490,GR9,2018-04-09 01:00:00,24.0,31.9,74.0,,,
2952491,LW2,2018-04-09 01:00:00,,,,,,
2952492,GN0,2018-04-09 01:00:00,20.2,22.7,57.6,,,
2952493,KF1,2018-04-09 01:00:00,,,,,,
2952494,CD9,2018-04-09 01:00:00,20.7,22.3,122.3,,,
2952495,CT3,2018-04-09 01:00:00,17.0,14.6,32.3,,,
2952496,CT2,2018-04-09 01:00:00,21.0,,,,,
2952497,BX9,2018-04-09 01:00:00,23.3,,,,,
2952498,BX1,2018-04-09 01:00:00,,,27.0,,,
2952499,TH4,2018-04-09 01:00:00,17.4,28.9,40.6,,,
2952500,ST5,2018-04-09 01:00:00,21.0,19.0,32.1,,,
2952501,RB7,2018-04-09 01:00:00,15.0,,32.8,,,
2952502,TD5,2018-04-09 01:00:00,12.5,,,,,
2952540,CD1,2018-04-09 02:00:00,15.7,16.2,64.4,,,
2952541,BL0,2018-04-09 02:00:00,13.6,16.6,51.1,,,
2952542,GR4,2018-04-09 02:00:00,22.2,25.5,24.0,,,
2952543,MY7,2018-04-09 02:00:00,4.6,14.7,,,,
2952544,HV1,2018-04-09 02:00:00,19.3,20.3,12.8,,,
2952545,GN3,2018-04-09 02:00:00,23.1,25.6,32.7,,,
2952546,GR9,2018-04-09 02:00:00,26.5,31.6,68.3,,,
2952547,LW2,2018-04-09 02:00:00,,,,,,
2952548,GN0,2018-04-09 02:00:00,26.6,24.6,62.2,,,
2952549,KF1,2018-04-09 02:00:00,,,,,,
2952550,CD9,2018-04-09 02:00:00,22.2,22.8,109.3,,,
2952551,CT3,2018-04-09 02:00:00,19.0,21.0,46.7,,,
2952552,CT2,2018-04-09 02:00:00,22.0,,,,,
2952553,BX9,2018-04-09 02:00:00,22.5,,,,,
2952554,BX1,2018-04-09 02:00:00,,,24.2,,,
2952555,TH4,2018-04-09 02:00:00,35.1,49.7,46.6,,,
2952556,ST5,2018-04-09 02:00:00,24.0,23.0,33.6,,,
2952557,RB7,2018-04-09 02:00:00,111.0,,38.2,,,
2952558,TD5,2018-04-09 02:00:00,16.0,,,,,
2952596,CD1,2018-04-09 03:00:00,17.0,18.9,63.6,,,
2952597,BL0,2018-04-09 03:00:00,11.5,17.7,60.2,,,
2952598,GR4,2018-04-09 03:00:00,25.6,28.7,24.5,,,
2952599,MY7,2018-04-09 03:00:00,66.1,19.2,,,,
2952600,HV1,2018-04-09 03:00:00,16.3,19.0,20.6,,,
2952601,GN3,2018-04-09 03:00:00,27.6,31.0,35.3,,,
2952602,GR9,2018-04-09 03:00:00,28.5,37.0,54.1,,,
2952603,LW2,2018-04-09 03:00:00,,,,,,
2952604,GN0,2018-04-09 03:00:00,24.1,29.8,56.5,,,
2952605,KF1,2018-04-09 03:00:00,,,,,,
2952606,CD9,2018-04-09 03:00:00,17.9,18.8,132.3,,,
2952607,CT3,2018-04-09 03:00:00,25.0,36.4,49.0,,,
2952608,CT2,2018-04-09 03:00:00,25.0,,,,,
2952609,BX9,2018-04-09 03:00:00,26.7,,,,,
2952610,BX1,2018-04-09 03:00:00,,,25.6,,,
2952611,TH4,2018-04-09 03:00:00,16.9,24.1,41.4,,,
2952612,ST5,2018-04-09 03:00:00,30.0,32.0,30.7,,,
2952613,RB7,2018-04-09 03:00:00,76.0,,42.1,,,
2952614,TD5,2018-04-09 03:00:00,17.4,,,,,
2952652,CD1,2018-04-09 04:00:00,21.8,22.6,69.8,,,
2952653,BL0,2018-04-09 04:00:00,20.0,24.9,56.0,,,
2952654,GR4,2018-04-09 04:00:00,27.5,36.6,26.6,,,
2952655,MY7,2018-04-09 04:00:00,8.9,28.4,,,,
2952656,HV1,2018-04-09 04:00:00,21.3,27.3,20.7,,,
2952657,GN3,2018-04-09 04:00:00,30.3,36.6,39.5,,,
2952658,GR9,2018-04-09 04:00:00,31.6,40.0,65.9,,,
2952659,LW2,2018-04-09 04:00:00,,,,,,
2952660,GN0,2018-04-09 04:00:00,31.4,32.4,60.5,,,
2952661,KF1,2018-04-09 04:00:00,,,,,,
2952662,CD9,2018-04-09 04:00:00,25.3,25.3,96.6,,,
2952663,CT3,2018-04-09 04:00:00,27.0,30.6,48.7,,,
2952664,CT2,2018-04-09 04:00:00,34.0,,,,,
2952665,BX9,2018-04-09 04:00:00,29.4,,,,,
2952666,BX1,2018-04-09 04:00:00,,,24.0,,,
2952667,TH4,2018-04-09 04:00:00,28.5,34.3,37.6,,,
2952668,ST5,2018-04-09 04:00:00,30.0,35.0,31.8,,,
2952669,RB7,2018-04-09 04:00:00,29.0,,31.0,,,
2952670,TD5,2018-04-09 04:00:00,26.2,,,,,
2952708,CD1,2018-04-09 05:00:00,28.6,35.5,70.1,,,
2952709,BL0,2018-04-09 05:00:00,26.3,34.3,56.8,,,
2952710,GR4,2018-04-09 05:00:00,19.6,25.2,21.4,,,
2952711,MY7,2018-04-09 05:00:00,0.8,37.6,,,,
2952712,HV1,2018-04-09 05:00:00,18.8,19.0,19.9,,,
2952713,GN3,2018-04-09 05:00:00,22.3,28.2,47.9,,,
2952714,GR9,2018-04-09 05:00:00,21.7,31.2,67.2,,,
2952715,LW2,2018-04-09 05:00:00,,,,,,
2952716,GN0,2018-04-09 05:00:00,29.3,25.6,45.1,,,
2952717,KF1,2018-04-09 05:00:00,,,,,,
2952718,CD9,2018-04-09 05:00:00,27.2,29.6,88.3,,,
2952719,CT3,2018-04-09 05:00:00,29.0,35.6,45.5,,,
2952720,CT2,2018-04-09 05:00:00,38.0,,,,,
2952721,BX9,2018-04-09 05:00:00,19.5,,,,,
2952722,BX1,2018-04-09 05:00:00,,,19.7,,,
2952723,TH4,2018-04-09 05:00:00,26.7,34.0,46.5,,,
2952724,ST5,2018-04-09 05:00:00,20.0,24.0,30.4,,,
2952725,RB7,2018-04-09 05:00:00,27.0,,26.7,,,
2952726,TD5,2018-04-09 05:00:00,29.4,,,,,
2952764,CD1,2018-04-09 06:00:00,24.1,30.0,74.5,,,
2952765,BL0,2018-04-09 06:00:00,17.8,26.3,61.0,,,
2952766,GR4,2018-04-09 06:00:00,18.0,19.7,26.5,,,
2952767,MY7,2018-04-09 06:00:00,27.9,35.7,,,,
2952768,HV1,2018-04-09 06:00:00,17.0,18.6,25.2,,,
2952769,GN3,2018-04-09 06:00:00,21.4,25.8,53.7,,,
2952770,GR9,2018-04-09 06:00:00,20.9,28.2,75.7,,,
2952771,LW2,2018-04-09 06:00:00,,,,,,
2952772,GN0,2018-04-09 06:00:00,21.8,19.8,46.4,,,
2952773,KF1,2018-04-09 06:00:00,,,,,,
2952774,CD9,2018-04-09 06:00:00,24.2,25.9,93.9,,,
