id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
3015605,dongsi_aq,2018-05-27 00:00:00,63.0,143.0,50.0,0.5,31.0,3.0
3015606,tiantan_aq,2018-05-27 00:00:00,54.0,,61.0,0.5,24.0,4.0
3015607,guanyuan_aq,2018-05-27 00:00:00,56.0,101.0,65.0,0.8,23.0,3.0
3015608,wanshouxigong_aq,2018-05-27 00:00:00,51.0,,59.0,0.7,18.0,3.0
3015609,aotizhongxin_aq,2018-05-27 00:00:00,52.0,117.0,46.0,0.2,44.0,2.0
3015610,nongzhanguan_aq,2018-05-27 00:00:00,57.0,129.0,66.0,0.5,9.0,2.0
3015611,wanliu_aq,2018-05-27 00:00:00,43.0,117.0,55.0,0.8,32.0,3.0
3015612,beibuxinqu_aq,2018-05-27 00:00:00,33.0,79.0,22.0,0.5,62.0,3.0
3015613,zhiwuyuan_aq,2018-05-27 00:00:00,,,,,,
3015614,fengtaihuayuan_aq,2018-05-27 00:00:00,93.0,145.0,68.0,0.6,25.0,3.0
3015615,yungang_aq,2018-05-27 00:00:00,56.0,140.0,22.0,0.3,43.0,2.0
3015616,gucheng_aq,2018-05-27 00:00:00,38.0,82.0,26.0,0.3,80.0,
3015617,fangshan_aq,2018-05-27 00:00:00,64.0,197.0,70.0,0.5,23.0,2.0
3015618,daxing_aq,2018-05-27 00:00:00,46.0,172.0,60.0,0.4,22.0,2.0
3015619,yizhuang_aq,2018-05-27 00:00:00,126.0,,66.0,0.7,16.0,4.0
3015620,tongzhou_aq,2018-05-27 00:00:00,53.0,147.0,52.0,0.5,30.0,5.0
3015621,shunyi_aq,2018-05-27 00:00:00,48.0,136.0,20.0,0.3,55.0,2.0
3015622,pingchang_aq,2018-05-27 00:00:00,41.0,105.0,20.0,0.4,66.0,6.0
3015623,mentougou_aq,2018-05-27 00:00:00,56.0,119.0,18.0,0.3,92.0,3.0
3015624,pinggu_aq,2018-05-27 00:00:00,40.0,108.0,27.0,0.4,63.0,2.0
3015625,huairou_aq,2018-05-27 00:00:00,45.0,105.0,17.0,0.3,61.0,2.0
3015626,miyun_aq,2018-05-27 00:00:00,63.0,96.0,32.0,0.4,47.0,2.0
3015627,yanqin_aq,2018-05-27 00:00:00,138.0,145.0,36.0,0.5,22.0,3.0
3015628,dingling_aq,2018-05-27 00:00:00,25.0,93.0,17.0,0.4,70.0,6.0
3015629,badaling_aq,2018-05-27 00:00:00,74.0,137.0,40.0,0.9,48.0,14.0
3015630,miyunshuiku_aq,2018-05-27 00:00:00,43.0,109.0,13.0,0.2,61.0,3.0
3015631,donggaocun_aq,2018-05-27 00:00:00,44.0,81.0,7.0,0.1,61.0,2.0
3015632,yongledian_aq,2018-05-27 00:00:00,67.0,150.0,68.0,0.5,16.0,4.0
3015633,yufa_aq,2018-05-27 00:00:00,102.0,253.0,41.0,1.5,42.0,5.0
3015634,liulihe_aq,2018-05-27 00:00:00,69.0,264.0,46.0,0.4,46.0,2.0
3015635,qianmen_aq,2018-05-27 00:00:00,53.0,58.0,75.0,0.4,33.0,4.0
3015636,yongdingmennei_aq,2018-05-27 00:00:00,17.0,121.0,80.0,0.6,12.0,2.0
3015637,xizhimenbei_aq,2018-05-27 00:00:00,42.0,94.0,74.0,0.4,25.0,3.0
3015638,nansanhuan_aq,2018-05-27 00:00:00,48.0,223.0,101.0,0.8,4.0,8.0
3015639,dongsihuan_aq,2018-05-27 00:00:00,55.0,168.0,84.0,0.6,3.0,6.0
